Category,Item Name,Description,Photo Filename,Has Product Page,Notes
Welding Materials,MIG Wires,Various wire diameters and spool sizes for MIG welding applications.,mig-wires.jpg,yes,
Abrasives,Cut-off Wheel,"Cut-off wheels for fast, precise cutting of metal and other materials.",cut-off-wheel.jpg,yes,
Abrasives,Depressed Center Wheel,Depressed center grinding wheels for heavy-duty material removal on angle grinders.,depressed-center-wheel.jpg,yes,
Abrasives,Grinding Wheel,"Grinding wheels for shaping, deburring, and heavy material removal.",grinding-wheel.jpg,yes,
Abrasives,Abrasive Mop Wheel,"Abrasive mop wheels for blending, deburring, and finishing metal surfaces.",abrasive-mop-wheel.jpg,yes,
Abrasives,Radial Wheel (Flat/Stand),"Radial wheels, flat and stand types, for deburring and surface conditioning.",radial-wheel-flat-stand.jpg,yes,
Abrasives,Flap Disc,Flap discs for blending and finishing metal surfaces.,flap-disc.jpg,yes,
Abrasives,Non-Woven Wheel,"Non-woven abrasive wheels for light deburring, blending, and surface finishing.",non-woven-wheel.jpg,yes,
Abrasives,Sanding Belt,"Sanding belts for belt sanders, in various grit options.",sanding-belt.jpg,yes,
Abrasives,Sand Paper,Sanding sheets in assorted grit levels for surface prep and finishing.,sand-paper.jpg,yes,
Abrasives,Emery Cloth,"Emery cloth for hand sanding, deburring, and surface prep.",emery-cloth.jpg,yes,
Abrasives,Honing Stone,Honing stones for sharpening and fine surface finishing.,honing-stone.jpg,yes,
Abrasives,Mounted Stone,Mounted stones for precision grinding and deburring in tight spaces.,mounted-stone.jpg,yes,
Abrasives,Buffing Pad,Buffing pads for polishing and finishing metal and other surfaces.,buffing-pad.jpg,yes,
Abrasives,Buffing Compound/Paste,Buffing compound and paste for polishing and achieving a fine surface finish.,buffing-compound-paste.jpg,yes,
Cutting Tools / Drills,Drill Bits,"For metal, wood, and masonry drilling.",drill-bits.jpg,no,
Cutting Tools / Drills,Cutting Discs,For metal cutting and fabrication work.,cutting-discs.jpg,no,
Power Drills,Makita,Power drills and accessories.,makita.jpg,no,
Power Drills,Hitachi,Power drills and accessories.,hitachi.jpg,no,
